condition,tag,family,support,n_answered,tp,fp,fn,tn,precision,precision_lo,precision_hi,precision_lo_clust,precision_hi_clust,recall,recall_lo,recall_hi,recall_lo_clust,recall_hi_clust,f1,f1_lo_clust,f1_hi_clust,boot_degenerate,baseline_f1,accuracy,baseline_accuracy
cot,is_u_turn,ego_maneuver,36,627,0,0,36,591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964,0.0,0.0,0.0,0.0,0.0,True,0.0,0.9426,0.9427
cot,is_cruising,ego_maneuver,236,627,195,248,40,144,0.4402,0.3947,0.4867,0.3612,0.5187,0.8298,0.7765,0.8724,0.748,0.9004,0.5752,0.4952,0.6497,False,0.0,0.5407,0.6242
cot,is_stationary,ego_maneuver,154,626,79,99,74,374,0.4438,0.3728,0.5172,0.3125,0.5777,0.5163,0.4377,0.5942,0.3816,0.6712,0.4773,0.3604,0.5848,False,0.0,0.7236,0.7548
cot,is_accelerating,ego_maneuver,119,627,0,1,119,507,0.0,0.0,0.7935,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8086,0.8105
cot,is_decelerating,ego_maneuver,119,627,0,0,119,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8102,0.8105
cot,lane_change,ego_maneuver,96,627,0,0,96,531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8469,0.8471
cot,on_drivable_area,map_context,628,627,624,0,3,0,1.0,0.9939,1.0,1.0,1.0,0.9952,0.986,0.9984,0.9869,1.0,0.9976,0.9934,1.0,True,1.0,0.9952,1.0
cot,at_intersection,map_context,216,627,29,84,186,328,0.2566,0.185,0.3442,0.125,0.4078,0.1349,0.0956,0.187,0.0621,0.2227,0.1768,0.085,0.278,False,0.0,0.5694,0.6561
cot,on_lane,map_context,412,627,396,197,16,18,0.6678,0.6289,0.7045,0.6013,0.7324,0.9612,0.9379,0.976,0.9268,0.9858,0.7881,0.7368,0.834,False,0.7923,0.6603,0.6561
cot,on_ped_crossing,map_context,118,627,5,31,113,478,0.1389,0.0608,0.2866,0.0,0.3549,0.0424,0.0182,0.0954,0.0,0.0943,0.0649,0.0,0.1429,False,0.0,0.7703,0.8121
